,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.66,0.616,0.652,0.668,0.648,0.684,0.656,0.664,0.648
F1,S,0.5563,0.5273,0.6192,0.6636,0.6376,0.6382,0.6283,0.6547,0.6252
Gmean,1,0.6372,0.6029,0.6589,0.6871,0.6619,0.6898,0.666,0.6822,0.6618
B_Acc,C,0.6493,0.6101,0.6892,0.7212,0.6958,0.7045,0.6948,0.7132,0.6885
Pre,S,0.5285,0.491,0.5125,0.5284,0.5165,0.5559,0.5186,0.5264,0.5105
Rec,V,0.6111,0.5889,0.8222,0.9111,0.8667,0.7778,0.8333,0.8889,0.8333
Spe, ,0.6875,0.6312,0.5562,0.5313,0.525,0.6313,0.5562,0.5375,0.5438
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.84,0.828,0.808,0.812,0.8,0.812,0.792,0.832,0.816
F1,S,0.7785,0.7633,0.7492,0.747,0.7411,0.7503,0.731,0.7714,0.76
Gmean,2,0.8156,0.8042,0.7929,0.7912,0.7868,0.7936,0.7782,0.8116,0.8016
B_Acc,C,0.8205,0.8088,0.7963,0.7956,0.7898,0.7975,0.7813,0.8157,0.8048
Pre,S,0.8256,0.8038,0.7568,0.7718,0.7395,0.7678,0.7289,0.7993,0.7673
Rec,V,0.7384,0.7279,0.7489,0.7279,0.7489,0.7384,0.7384,0.7484,0.7595
Spe, ,0.9026,0.8897,0.8437,0.8632,0.8308,0.8566,0.8241,0.883,0.8501
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.7647,0.768,0.7388,0.4384,0.7288,0.7289,0.7387,0.732,0.7256
F1,S,0.3894,0.3751,0.5365,0.4652,0.5309,0.5204,0.5356,0.5256,0.5191
Gmean,3,0.5155,0.4997,0.675,0.2728,0.6728,0.6623,0.6745,0.6668,0.6624
B_Acc,C,0.6112,0.6101,0.6893,0.5735,0.6863,0.6786,0.6893,0.6805,0.6764
Pre,S,0.635,0.7012,0.5049,0.3396,0.4915,0.4912,0.5047,0.4976,0.4848
Rec,V,0.2846,0.2735,0.5831,0.8625,0.5949,0.5706,0.5831,0.5699,0.5706
Spe, ,0.9378,0.9467,0.7955,0.2845,0.7778,0.7867,0.7955,0.7911,0.7822
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8387,0.8548,0.8452,0.8387,0.8355,0.8064,0.8355,0.7839,0.8419
F1,S,0.7563,0.7759,0.7916,0.7724,0.7813,0.7459,0.7805,0.6062,0.7855
Gmean,4,0.8176,0.8297,0.8582,0.8302,0.8528,0.8217,0.8505,0.6668,0.8533
B_Acc,C,0.8207,0.8326,0.8595,0.8338,0.855,0.8257,0.8524,0.7698,0.8545
Pre,S,0.7517,0.7876,0.7085,0.7494,0.6854,0.6514,0.6911,0.5192,0.705
Rec,V,0.77,0.77,0.9,0.82,0.91,0.88,0.9,0.73,0.89
Spe, ,0.8714,0.8952,0.819,0.8476,0.8,0.7714,0.8048,0.8095,0.819
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.6719,0.6875,0.5187,0.4125,0.5156,0.5125,0.5094,0.5312,0.5281
