,Dataset#,L,att_1,att_2,att_3,att_4
21,2,64,0.6069,0.6295,0.5847,0.6321
22,2,67,0.6818,0.591,0.6173,0.5813
23,2,70,0.609,0.6702,0.5847,0.6195
24,2,73,0.5987,0.6692,0.5961,0.5548
25,2,76,0.6502,0.6974,0.6385,0.6217
26,2,79,0.6023,0.5548,0.6435,0.6003
27,2,82,0.6314,0.6795,0.6345,0.6965
28,2,85,0.6807,0.6592,0.6415,0.6752
29,2,88,0.6431,0.591,0.6847,0.5842
30,2,91,0.5548,0.5818,0.5961,0.6165
31,2,94,0.6195,0.6734,0.5548,0.5987
32,2,97,0.716,0.6006,0.5933,0.6231
33,2,100,0.5548,0.6588,0.6543,0.5933
34,2,103,0.657,0.5548,0.6424,0.6892
35,2,106,0.6069,0.6023,0.637,0.591
36,2,109,0.6369,0.5548,0.5548,0.5548
37,2,112,0.6681,0.6328,0.6003,0.711
38,2,115,0.6366,0.6758,0.6177,0.6047
39,2,118,0.5933,0.6319,0.5548,0.5548
40,2,121,0.6464,0.6409,0.4781,0.5548
41,2,124,0.7028,0.5744,0.5989,0.5548
42,2,127,0.5933,0.6398,0.5548,0.6258
43,2,130,0.6149,0.6486,0.6003,0.5747
44,2,133,0.5859,0.6023,0.5548,0.5852
45,2,136,0.6279,0.6003,0.5933,0.5548
46,2,139,0.6225,0.6122,0.5548,0.5891
47,2,142,0.6518,0.4819,0.5933,0.5813
48,2,145,0.5961,0.628,0.649,0.6237
49,2,148,0.5548,0.7009,0.6225,0.6023
50,2,151,0.5548,0.5548,0.6599,0.6271
51,2,154,0.6429,0.6106,0.578,0.5138
52,2,157,0.6879,0.4751,0.5947,0.4704
53,2,160,0.5961,0.6382,0.6327,0.6327
54,2,163,0.6817,0.5891,0.5852,0.6066
55,2,166,0.6385,0.6023,0.677,0.4692
56,2,169,0.4447,0.3803,0.6069,0.4901
57,2,172,0.4809,0.4884,0.4751,0.5548
58,2,175,0.4045,0.4447,0.4406,0.4859
59,2,178,0.5548,0.4447,0.3346,0.3346
60,2,181,0.5548,0.4447,0.4447,0.4709
61,2,184,0.3362,0.3304,0.4447,0.3346
62,2,187,0.5548,0.1101,0.5548,0.3304
63,2,190,0.3346,0.4447,0.4447,0.3304
64,2,193,0.1101,0.3346,0.4447,0.3346
65,2,196,0.1101,0.3304,0.3346,0.2244
66,2,199,0.3346,0.4447,0.3346,0.3304
67,2,202,0.4447,0.3304,0.3304,0.4447
68,2,205,0.3304,0.5548,0.5548,0.5548
69,2,208,0.4447,0.3304,0.3304,0.4447
70,2,211,0.5548,0.3304,0.4406,0.4406
71,2,214,0.5548,0.5548,0.3346,0.3346
72,2,217,0.4447,0.4447,0.4447,0.3304
73,2,220,0.3346,0.2244,0.3346,0.4447
74,2,223,0.4447,0.2203,0.3346,0.5548
75,2,226,0.4447,0.3346,0.3346,0.4447
76,2,229,0.3346,0.5548,0.5548,0.3346
77,2,232,0.4447,0.4447,0.4447,0.4447
78,2,235,0.3346,0.2244,0.3346,0.5548
79,2,238,0.3304,0.3346,0.5548,0.3304
80,2,241,0.4447,0.3346,0.4447,0.4447
81,2,244,0.5548,0.3346,0.4447,0.2203
82,2,247,0.4406,0.4447,0.5548,0.3346
83,2,250,0.4447,0.3346,0.3346,0.2203
84,2,253,0.4447,0.4447,0.3346,0.4447
85,2,256,0.3346,0.3304,0.2203,0.5548
86,2,259,0.5548,0.4406,0.3346,0.5548
87,2,262,0.3304,0.3304,0.3346,0.4406
88,2,265,0.4447,0.2244,0.4406,0.2203
89,2,268,0.2203,0.3346,0.4447,0.4447
90,2,271,0.3346,0.2203,0.4447,0.4447
91,2,274,0.2244,0.3304,0.4406,0.4447
92,2,277,0.1143,0.3304,0.4447,0.4447
93,2,280,0.3304,0.4406,0.4447,0.4447
94,2,283,0.4447,0.3304,0.5548,0.3304
95,2,286,0.3346,0.2203,0.3304,0.3346
96,2,289,0.3304,0.4447,0.5548,0.3346
97,2,292,0.4447,0.4447,0.4447,0.3346
98,2,295,0.5548,0.3346,0.5548,0.3304
99,2,298,0.5548,0.4406,0.4406,0.1143
,Dataset#,L,att_1,att_2,att_3,att_4
0,3,1,0.4454,0.4393,0.4271,0.458
1,3,4,0.4795,0.4546,0.4796,0.4976
2,3,7,0.4856,0.5198,0.4958,0.4868
3,3,10,0.4929,0.5357,0.5055,0.4555
4,3,13,0.4537,0.4662,0.45,0.4531
5,3,16,0.4354,0.4386,0.4714,0.486
6,3,19,0.4214,0.4203,0.4369,0.4649
7,3,22,0.4234,0.4497,0.4876,0.4988
8,3,25,0.467,0.4186,0.4833,0.432
9,3,28,0.419,0.4288,0.437,0.4528
10,3,31,0.4435,0.4064,0.4554,0.4564
11,3,34,0.4644,0.4186,0.4186,0.431
12,3,37,0.4141,0.4585,0.4344,0.4192
13,3,40,0.4327,0.4428,0.435,0.4402
14,3,43,0.4186,0.4139,0.4186,0.4248
15,3,46,0.4354,0.4186,0.433,0.4186
16,3,49,0.4186,0.4376,0.4186,0.4258
17,3,52,0.4186,0.4533,0.4186,0.4186
18,3,55,0.4544,0.4186,0.4186,0.4359
19,3,58,0.4154,0.4186,0.4186,0.4186
20,3,61,0.4527,0.4186,0.4186,0.4584
21,3,64,0.4186,0.4214,0.4039,0.4186
22,3,67,0.4716,0.4296,0.4186,0.4186
23,3,70,0.4186,0.3354,0.4186,0.4307
24,3,73,0.4186,0.4186,0.4186,0.4186
25,3,76,0.4186,0.4125,0.4186,0.4186
26,3,79,0.4186,0.4235,0.4186,0.432
27,3,82,0.4075,0.3325,0.4186,0.4186
28,3,85,0.4186,0.4186,0.4186,0.4186
29,3,88,0.4186,0.4252,0.4224,0.4186
30,3,91,0.3354,0.4186,0.412,0.4186
31,3,94,0.4258,0.4186,0.4186,0.4186
32,3,97,0.4186,0.4186,0.4186,0.4421
33,3,100,0.4186,0.4186,0.4413,0.4186
34,3,103,0.4186,0.4186,0.4186,0.4186
35,3,106,0.4186,0.4221,0.4272,0.2494
36,3,109,0.4186,0.4468,0.4186,0.4186
37,3,112,0.4325,0.4186,0.4186,0.3354
38,3,115,0.4186,0.432,0.4186,0.4186
39,3,118,0.4186,0.3325,0.4186,0.4376
40,3,121,0.4186,0.4186,0.4186,0.3354
41,3,124,0.3325,0.3325,0.4186,0.4516
42,3,127,0.4383,0.4186,0.3354,0.4186
43,3,130,0.4186,0.4186,0.3323,0.4186
44,3,133,0.4186,0.3354,0.4186,0.4186
45,3,136,0.3354,0.3354,0.4186,0.4186
46,3,139,0.4497,0.4186,0.4186,0.4186
47,3,142,0.3354,0.4186,0.4186,0.4154
48,3,145,0.4186,0.4186,0.4186,0.3354
49,3,148,0.4186,0.3325,0.2523,0.4186
50,3,151,0.4186,0.3435,0.4186,0.3325
51,3,154,0.4138,0.4186,0.4186,0.4186
52,3,157,0.4186,0.4186,0.3604,0.4186
53,3,160,0.4186,0.4186,0.4186,0.4186
54,3,163,0.3354,0.2494,0.4186,0.4186
55,3,166,0.4186,0.1662,0.4227,0.4186
56,3,169,0.4186,0.4186,0.4186,0.3354
57,3,172,0.2523,0.2494,0.4205,0.4288
58,3,175,0.4186,0.4186,0.4186,0.2523
59,3,178,0.3354,0.2494,0.4186,0.2494
60,3,181,0.4186,0.3354,0.2494,0.4186
61,3,184,0.3354,0.3325,0.4186,0.3325
62,3,187,0.3308,0.3354,0.4186,0.3354
63,3,190,0.4186,0.4186,0.3354,0.2523
64,3,193,0.2494,0.3325,0.4186,0.3354
65,3,196,0.3354,0.2523,0.3354,0.3354
66,3,199,0.3325,0.2523,0.3325,0.2494
67,3,202,0.4186,0.3354,0.3354,0.3325
68,3,205,0.1692,0.4186,0.2494,0.1662
69,3,208,0.3354,0.3354,0.4186,0.4186
70,3,211,0.2523,0.3325,0.3325,0.3354
71,3,214,0.2523,0.2523,0.2494,0.4186
72,3,217,0.3354,0.3354,0.2523,0.3354
73,3,220,0.3354,0.3354,0.2523,0.4186
74,3,223,0.2523,0.3354,0.4186,0.3354
75,3,226,0.2523,0.3354,0.3354,0.2523
76,3,229,0.3325,0.3354,0.3325,0.3354
77,3,232,0.3354,0.3354,0.2494,0.3354
78,3,235,0.3354,0.4186,0.3354,0.2523
79,3,238,0.4186,0.4186,0.2523,0.3354
80,3,241,0.3325,0.1662,0.4186,0.3325
81,3,244,0.3354,0.4186,0.2523,0.2523
82,3,247,0.3354,0.3354,0.2494,0.3354
83,3,250,0.2523,0.08312,0.2494,0.4186
84,3,253,0.3354,0.2494,0.4186,0.3354
85,3,256,0.2494,0.3325,0.2523,0.3354
86,3,259,0.4186,0.3354,0.4186,0.3325
87,3,262,0.2494,0.2523,0.3354,0.2523
88,3,265,0.4186,0.2523,0.3325,0.2494
89,3,268,0.2494,0.4186,0.2523,0.1692
90,3,271,0.1662,0.4186,0.1662,0.1692
91,3,274,0.3354,0.08312,0.3354,0.1692
92,3,277,0.08312,0.2494,0.2523,0.2523
93,3,280,0.3354,0.3354,0.2523,0.1662
94,3,283,0.08312,0.1662,0.2523,0.2494
95,3,286,0.3354,0.1662,0.2523,0.2523
96,3,289,0.1662,0.3325,0.3354,0.3325
97,3,292,0.2494,0.3354,0.2523,0.3354
98,3,295,0.2523,0.4186,0.3354,0.4186
99,3,298,0.3354,0.2494,0.2523,0.3354
,Dataset#,L,att_1,att_2,att_3,att_4
0,4,1,0.7449,0.7561,0.7464,0.7638
1,4,4,0.7656,0.7576,0.7346,0.7335
2,4,7,0.7767,0.754,0.7589,0.7403
3,4,10,0.7774,0.7746,0.7698,0.7764
4,4,13,0.7607,0.7674,0.7408,0.7539
5,4,16,0.7674,0.7394,0.754,0.7672
6,4,19,0.6678,0.709,0.6408,0.7476
7,4,22,0.6874,0.6601,0.7425,0.6549
8,4,25,0.5661,0.7267,0.6364,0.69
9,4,28,0.6303,0.7285,0.6957,0.6611
10,4,31,0.7063,0.6509,0.7149,0.5863
11,4,34,0.6476,0.7486,0.6531,0.647
12,4,37,0.646,0.7531,0.7087,0.7284
13,4,40,0.6735,0.6688,0.7599,0.708
14,4,43,0.7761,0.6941,0.5959,0.7309
15,4,46,0.6467,0.6429,0.6828,0.6717
16,4,49,0.614,0.6359,0.6876,0.5414
17,4,52,0.6278,0.6513,0.6108,0.6998
18,4,55,0.5569,0.6761,0.5546,0.6554
19,4,58,0.6727,0.6449,0.7427,0.5998
20,4,61,0.7091,0.6879,0.7116,0.6654
21,4,64,0.5696,0.6056,0.4878,0.6943
22,4,67,0.6286,0.7005,0.4878,0.6817
23,4,70,0.6114,0.6007,0.617,0.6661
24,4,73,0.6353,0.6193,0.6732,0.6501
25,4,76,0.5939,0.526,0.5689,0.5325
26,4,79,0.7599,0.4926,0.6937,0.7469
27,4,82,0.5926,0.6375,0.5872,0.5842
28,4,85,0.5844,0.7496,0.5906,0.6282
29,4,88,0.5302,0.7082,0.6537,0.6337
30,4,91,0.6809,0.6286,0.5864,0.5871
31,4,94,0.6328,0.4585,0.611,0.674
32,4,97,0.6922,0.6178,0.4878,0.6643
33,4,100,0.592,0.6259,0.6855,0.7057
34,4,103,0.6824,0.5825,0.5885,0.5453
35,4,106,0.6647,0.6373,0.5543,0.4878
36,4,109,0.4878,0.4889,0.4544,0.605
37,4,112,0.7103,0.5463,0.6305,0.575
38,4,115,0.6209,0.5737,0.6064,0.4878
39,4,118,0.5668,0.6388,0.5834,0.6386
40,4,121,0.6071,0.5411,0.5059,0.5704
41,4,124,0.4936,0.6726,0.6321,0.4862
42,4,127,0.6592,0.451,0.6751,0.5851
43,4,130,0.5353,0.7129,0.5089,0.643
44,4,133,0.3902,0.5662,0.7354,0.445
45,4,136,0.5436,0.5422,0.5383,0.4381
46,4,139,0.5997,0.5792,0.6157,0.5749
47,4,142,0.5569,0.6244,0.4417,0.6712
48,4,145,0.6357,0.352,0.5182,0.3413
49,4,148,0.5075,0.4593,0.6464,0.5041
50,4,151,0.6076,0.3902,0.4924,0.5236
51,4,154,0.5592,0.4984,0.5566,0.4495
52,4,157,0.3385,0.4822,0.4808,0.5062
53,4,160,0.6307,0.5319,0.5872,0.5441
54,4,163,0.5422,0.6112,0.4878,0.6483
55,4,166,0.5816,0.3516,0.3433,0.5384
56,4,169,0.4974,0.5987,0.5254,0.5376
57,4,172,0.4213,0.2927,0.2927,0.2341
58,4,175,0.2927,0,0.3902,0.1951
59,4,178,0.3475,0.3902,0.1306,0.1951
60,4,181,0.2927,0,0.2927,0.3902
61,4,184,0.3902,0.3902,0.09756,0.2927
62,4,187,0.2927,0.1951,0.3902,0.09756
63,4,190,0.1951,0.1951,0.1951,0.4878
64,4,193,0.2927,0.2927,0.2927,0.4492
65,4,196,0.2927,0.2927,0.1951,0.2927
66,4,199,0.09756,0.4878,0.2927,0.2927
67,4,202,0.2927,0.1951,0.2927,0.1951
68,4,205,0.1951,0.3902,0.1951,0
69,4,208,0.2927,0.3902,0.2927,0.1951
70,4,211,0.2927,0.1951,0.09756,0.2927
71,4,214,0.4878,0.2927,0.1951,0.2927
72,4,217,0.2927,0.2927,0.09756,0.09756
73,4,220,0.1951,0.2927,0,0.1951
74,4,223,0.2927,0.1951,0.4878,0.1951
75,4,226,0.1951,0.09756,0.2927,0.2927
76,4,229,0,0.1951,0.1951,0.09756
77,4,232,0.2927,0.2927,0.2927,0.2927
78,4,235,0.1951,0.2927,0,0.09756
79,4,238,0.3902,0.3461,0.1951,0.1951
80,4,241,0.2927,0.2927,0.09756,0.1951
81,4,244,0.2927,0.2927,0.09756,0.1951
82,4,247,0.3902,0.3902,0.1951,0.2927
83,4,250,0.09756,0.09756,0.4878,0.3902
84,4,253,0.2927,0.3902,0.2927,0.09756
85,4,256,0.1951,0,0.1951,0.09756
86,4,259,0.3902,0.2927,0.3902,0.1951
87,4,262,0.2927,0.2927,0.09756,0.2927
88,4,265,0.3902,0.2927,0.2927,0.2927
89,4,268,0.2927,0.2927,0.1951,0.2927
90,4,271,0.2927,0.2927,0.09756,0.2927
91,4,274,0.3902,0.3902,0.2927,0.3902
92,4,277,0.2927,0,0.3902,0.3902
93,4,280,0.2927,0.2927,0.1951,0.2927
94,4,283,0.2927,0.1951,0.09756,0.2927
95,4,286,0.2927,0.2927,0.1951,0.2927
96,4,289,0.4878,0.3902,0.2927,0.3902
97,4,292,0.3902,0.2927,0.09756,0.1951
98,4,295,0.3902,0.09756,0.09756,0.1951
99,4,298,0.4878,0.09756,0.1951,0.2927
,Dataset#,L,att_1,att_2,att_3,att_4
0,5,1,0.5002,0.5099,0.5047,0.5098
1,5,4,0.5305,0.5136,0.5015,0.5242
