,L,fscore
0,1,0.9167
1,4,0.9227
2,7,0.956
3,10,0.9188
4,13,0.9379
5,16,0.9463
6,19,0.9846
7,22,0.9379
8,25,0.9427
9,28,0.9427
10,31,0.956
11,34,0.9867
12,37,0.9595
13,40,0.7346
14,43,0.8058
15,46,0.9442
16,49,0.9713
17,52,0.1678
18,55,0.1678
19,58,0.1678
20,61,0.92
21,64,0.1678
22,67,0.9549
23,70,0.1678
24,73,0.9846
25,76,0.9559
26,79,0.1678
27,82,0.1678
28,85,0.1678
29,88,0.1678
30,91,0.1678
31,94,0.1678
32,97,0.1678
33,100,0.1678
