,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.688,0.684,0.656,0.628,0.668,0.684,0.684,0.692,0.672
F1,S,0.6108,0.595,0.6257,0.6625,0.6667,0.6404,0.6467,0.6601,0.6349
Gmean,1,0.6771,0.6691,0.6669,0.5757,0.6908,0.6922,0.6939,0.7023,0.6834
B_Acc,C,0.6906,0.6778,0.6899,0.7021,0.7212,0.7094,0.7142,0.7254,0.7
Pre,S,0.5594,0.5572,0.5242,0.512,0.5304,0.545,0.5476,0.5573,0.5383
Rec,V,0.7,0.6556,0.8111,0.9667,0.9111,0.8,0.8222,0.8444,0.8
Spe, ,0.6813,0.7,0.5688,0.4375,0.5313,0.6188,0.6063,0.6063,0.6
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.816,0.82,0.784,0.804,0.784,0.792,0.788,0.8,0.804
F1,S,0.742,0.7555,0.7191,0.7439,0.7257,0.7338,0.7266,0.7343,0.741
Gmean,2,0.7843,0.7958,0.7682,0.7887,0.7733,0.7815,0.7746,0.78,0.7872
B_Acc,C,0.792,0.801,0.7715,0.7914,0.7754,0.7834,0.7768,0.784,0.7898
Pre,S,0.8118,0.804,0.7256,0.7534,0.7178,0.7224,0.7283,0.7561,0.7555
Rec,V,0.6874,0.7184,0.7184,0.7389,0.7395,0.7489,0.7289,0.7179,0.7289
Spe, ,0.8966,0.8837,0.8245,0.8439,0.8114,0.8179,0.8247,0.8501,0.8508
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.7516,0.7451,0.6995,0.4016,0.5261,0.6862,0.6962,0.7222,0.6993
F1,S,0.3249,0.3214,0.5027,0.4473,0.4818,0.5036,0.4857,0.4974,0.4834
Gmean,3,0.461,0.4585,0.6533,0.311,0.5054,0.6512,0.6357,0.6414,0.6348
B_Acc,C,0.5869,0.5869,0.6623,0.5619,0.6181,0.6604,0.648,0.6621,0.6502
Pre,S,0.6424,0.62,0.4467,0.3043,0.3489,0.4451,0.4469,0.4832,0.4443
Rec,V,0.236,0.2493,0.5824,0.9015,0.814,0.6051,0.5449,0.5331,0.5449
Spe, ,0.9378,0.9244,0.7422,0.2222,0.4222,0.7156,0.7511,0.7911,0.7556
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8484,0.8645,0.8355,0.8,0.8226,0.8258,0.8355,0.8355,0.8226
F1,S,0.7576,0.778,0.7767,0.7559,0.768,0.7658,0.7789,0.7821,0.7652
Gmean,4,0.8102,0.8243,0.8459,0.8307,0.8425,0.8388,0.8484,0.8469,0.8383
B_Acc,C,0.8174,0.8319,0.8472,0.8393,0.8455,0.84,0.8498,0.8498,0.8403
Pre,S,0.805,0.8368,0.6975,0.6301,0.6655,0.6787,0.6944,0.7055,0.6731
Rec,V,0.73,0.74,0.88,0.95,0.91,0.88,0.89,0.89,0.89
Spe, ,0.9048,0.9238,0.8143,0.7286,0.7809,0.8,0.8095,0.8095,0.7905
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.6625,0.6625,0.5344,0.3781,0.4781,0.525,0.5375,0.5438,0.5187
F1,S,0.3106,0.3112,0.4623,0.5121,0.5341,0.4268,0.4621,0.5021,0.4358
Gmean,5,0.4421,0.4413,0.5388,0.1708,0.4863,0.5204,0.5383,0.5632,0.5207
B_Acc,C,0.5538,0.5538,0.5569,0.526,0.5834,0.5291,0.5605,0.5782,0.5343
Pre,S,0.5619,0.5599,0.371,0.3483,0.3807,0.3543,0.3731,0.4004,0.3522
Rec,V,0.2251,0.2251,0.626,0.9723,0.8991,0.5424,0.6281,0.6831,0.5805
