,Dataset#,L,att_1,att_2,att_3,att_4
0,1,1,0.68,0.6895,0.6716,0.6817
1,1,4,0.6418,0.6646,0.6594,0.6707
2,1,7,0.6577,0.6728,0.6707,0.6634
3,1,10,0.6675,0.6653,0.6585,0.6651
4,1,13,0.6713,0.6609,0.6622,0.6584
5,1,16,0.6549,0.6625,0.6437,0.6537
6,1,19,0.674,0.6649,0.6565,0.6721
7,1,22,0.6509,0.6649,0.6384,0.6625
8,1,25,0.6374,0.6666,0.6293,0.675
9,1,28,0.6677,0.6589,0.6556,0.6462
10,1,31,0.6634,0.6216,0.6613,0.6323
11,1,34,0.6015,0.6403,0.6766,0.6637
12,1,37,0.644,0.6342,0.6189,0.6273
13,1,40,0.6118,0.6617,0.6449,0.5594
14,1,43,0.6675,0.6336,0.5973,0.6344
15,1,46,0.6717,0.581,0.6294,0.6189
16,1,49,0.6321,0.6276,0.6583,0.6293
17,1,52,0.6415,0.6225,0.6591,0.6339
18,1,55,0.6171,0.6107,0.6793,0.6483
19,1,58,0.5865,0.6561,0.6181,0.6146
20,1,61,0.581,0.6424,0.6142,0.6298
21,1,64,0.581,0.6319,0.6094,0.6226
22,1,67,0.6376,0.6126,0.5925,0.5947
23,1,70,0.6353,0.629,0.6638,0.6441
24,1,73,0.5885,0.6599,0.6712,0.5741
25,1,76,0.6576,0.6327,0.6663,0.5631
26,1,79,0.6264,0.5716,0.5954,0.6229
27,1,82,0.6504,0.6703,0.6413,0.6304
28,1,85,0.5647,0.6322,0.6094,0.639
29,1,88,0.5544,0.6703,0.6245,0.6012
30,1,91,0.6563,0.5843,0.5847,0.6292
31,1,94,0.5876,0.6392,0.5817,0.6004
32,1,97,0.6655,0.6267,0.5819,0.6208
33,1,100,0.6126,0.5716,0.601,0.6445
34,1,103,0.5675,0.6147,0.5643,0.6016
35,1,106,0.5639,0.6393,0.6137,0.6232
36,1,109,0.5466,0.5876,0.6092,0.6589
37,1,112,0.6694,0.6126,0.6052,0.6197
38,1,115,0.5905,0.6361,0.5544,0.663
39,1,118,0.6093,0.6118,0.6094,0.6036
40,1,121,0.6199,0.6407,0.6118,0.615
41,1,124,0.6235,0.6665,0.6731,0.6317
42,1,127,0.5601,0.5675,0.6001,0.6894
43,1,130,0.5876,0.5824,0.6413,0.5991
44,1,133,0.6205,0.5785,0.644,0.5896
45,1,136,0.574,0.6454,0.5765,0.6667
46,1,139,0.6282,0.6176,0.5987,0.6254
47,1,142,0.6283,0.6257,0.5517,0.5875
48,1,145,0.6363,0.6291,0.6074,0.601
49,1,148,0.6086,0.5938,0.6094,0.6176
50,1,151,0.6015,0.6328,0.6404,0.6813
51,1,154,0.6134,0.6073,0.6097,0.6093
52,1,157,0.5922,0.6776,0.5569,0.5992
53,1,160,0.5936,0.6184,0.5991,0.6176
54,1,163,0.5466,0.6044,0.6169,0.5982
55,1,166,0.674,0.6157,0.645,0.6401
56,1,169,0.5664,0.6173,0.6172,0.6303
57,1,172,0.6227,0.6172,0.5716,0.6172
58,1,175,0.5973,0.5816,0.6633,0.6252
59,1,178,0.5905,0.6558,0.5855,0.5844
60,1,181,0.65,0.6451,0.6574,0.6127
61,1,184,0.5691,0.5621,0.6854,0.6198
62,1,187,0.6229,0.6169,0.6404,0.5951
63,1,190,0.6221,0.5705,0.6486,0.6415
64,1,193,0.5876,0.6634,0.6658,0.6404
65,1,196,0.6105,0.6131,0.581,0.5766
66,1,199,0.5929,0.574,0.5906,0.5871
67,1,202,0.5917,0.595,0.5675,0.5844
68,1,205,0.549,0.6672,0.6172,0.6856
69,1,208,0.5892,0.5594,0.6012,0.6069
70,1,211,0.6038,0.5754,0.5273,0.5765
71,1,214,0.6256,0.6085,0.5768,0.6147
72,1,217,0.6229,0.5294,0.6376,0.5994
73,1,220,0.5925,0.5252,0.6328,0.6232
74,1,223,0.5675,0.642,0.6792,0.5647
75,1,226,0.6091,0.6438,0.5716,0.5647
76,1,229,0.6017,0.6076,0.6425,0.6191
77,1,232,0.6245,0.5544,0.5986,0.6604
78,1,235,0.4984,0.6458,0.6659,0.6118
79,1,238,0.649,0.646,0.5768,0.6671
80,1,241,0.5569,0.5974,0.5794,0.5888
81,1,244,0.6454,0.6012,0.5922,0.6874
82,1,247,0.6234,0.6292,0.5956,0.635
83,1,250,0.5675,0.5569,0.6643,0.6093
84,1,253,0.4384,0.4884,0.6076,0.3726
85,1,256,0.6242,0.6353,0.5544,0.6396
